  INFO root [2018-05-21 08:48:52,736] - 
  INFO root [2018-05-21 08:48:52,737] - -----------------------------------------------------------------------------------------


  INFO root [2018-05-21 08:48:52,738] - Resmgr::initialize: KBE_ROOT=D:/noah/ChessWarrior/server/
  INFO root [2018-05-21 08:48:52,739] - Resmgr::initialize: KBE_RES_PATH=D:/noah/ChessWarrior/server/kbe/res/;D:/noah/ChessWarrior/server/chess_assets/;D:/noah/ChessWarrior/server/chess_assets/scripts/;D:/noah/ChessWarrior/server/chess_assets/res/
  INFO root [2018-05-21 08:48:52,739] - Resmgr::initialize: KBE_BIN_PATH=D:/noah/ChessWarrior/server/kbe/bin/server/
  INFO root [2018-05-21 08:48:52,743] - NetworkInterface::initialize(INTERNAL): bound to all interfaces with default route interface on 192.168.0.111 ( 192.168.0.111:52747 )
  INFO root [2018-05-21 08:48:52,745] - NetworkInterface::initialize(INTERNAL): address 192.168.0.111:52747, SOMAXCONN=5.
  INFO root [2018-05-21 08:48:52,765] - ---- tool Version: 2.0.0. ScriptVersion: 0.1.0. Protocol: F217117F928F68467C45B47BA31B1B8B. Config: Debug X86. Built: 15:51:05 May 15 2018. AppID: 0. UID: 17325. PID: 1900 ----
  INFO root [2018-05-21 08:48:52,766] - Server : Intel(R) Core(TM) i5-7500 CPU @ 3.40GHz with 2097151kB RAM
  INFO root [2018-05-21 08:48:52,766] - ThreadPool::createThreadPool: creating  threadpool...
  INFO root [2018-05-21 08:48:52,766] - ThreadPool::createThreadPool: successfully(2), newThreadCount=1, normalMaxThreadCount=2, maxThreadCount=8
 DEBUG root [2018-05-21 08:48:52,940] - Script::install_py_dlls(): PyInit_pyexpat
 DEBUG root [2018-05-21 08:48:52,940] - Script::install_py_dlls(): PyInit__socket
 DEBUG root [2018-05-21 08:48:52,940] - Script::install_py_dlls(): PyInit__ssl
 DEBUG root [2018-05-21 08:48:52,943] - Script::install_py_dlls(): PyInit__hashlib
 DEBUG root [2018-05-21 08:48:52,943] - Script::install_py_dlls(): PyInit_select
 DEBUG root [2018-05-21 08:48:52,943] - Script::install_py_dlls(): PyInit__ctypes
 DEBUG root [2018-05-21 08:48:52,944] - Script::install_py_dlls(): PyInit__elementtree
 DEBUG root [2018-05-21 08:48:53,048] - Script::install_py_dlls(): PyInit_unicodedata
  INFO root [2018-05-21 08:48:53,144] - Script::install(): is successfully, Python=(3.4.2 (default, May 15 2018, 15:51:04) [MSC v.1900 32 bit (Intel)])!
  INFO root [2018-05-21 08:48:53,144] - Script::install(): KBExtra is successfully!
 DEBUG root [2018-05-21 08:48:53,794] - ClientSDK::writeServerErrorDescrsModule(): ..\..\client\Assets\Scripts\Net//ServerErrorDescrs.cs
 DEBUG root [2018-05-21 08:48:53,794] - ClientSDK::saveFile(): ..\..\client\Assets\Scripts\Net/ServerErrorDescrs.cs
 DEBUG root [2018-05-21 08:48:53,802] - ClientSDK::writeEngineMessagesModule(): ..\..\client\Assets\Scripts\Net//Messages.cs
 DEBUG root [2018-05-21 08:48:53,805] - ClientSDK::saveFile(): ..\..\client\Assets\Scripts\Net/Messages.cs
 DEBUG root [2018-05-21 08:48:53,813] - ClientSDK::saveFile(): ..\..\client\Assets\Scripts\Net/KBETypes.cs
 DEBUG root [2018-05-21 08:48:53,817] - ClientSDK::writeEntityDefsModule(): ..\..\client\Assets\Scripts\Net//EntityDef.cs
 DEBUG root [2018-05-21 08:48:53,819] - ClientSDK::saveFile(): ..\..\client\Assets\Scripts\Net/EntityDef.cs
 DEBUG root [2018-05-21 08:48:53,829] - ClientSDK::saveFile(): ..\..\client\Assets\Scripts\Net/CustomDataTypes.cs
 DEBUG root [2018-05-21 08:48:53,835] - ClientSDK::writeEntityModule(): ..\..\client\Assets\Scripts\Net//Account
 DEBUG root [2018-05-21 08:48:53,836] - ClientSDK::saveFile(): ..\..\client\Assets\Scripts\Net/AccountBase.cs
 DEBUG root [2018-05-21 08:48:53,846] - ClientSDK::saveFile(): ..\..\client\Assets\Scripts\Net/EntityCallAccountBase.cs
 DEBUG root [2018-05-21 08:48:53,851] - ClientSDK::writeEntityModule(): ..\..\client\Assets\Scripts\Net//Chess
 DEBUG root [2018-05-21 08:48:53,853] - ClientSDK::saveFile(): ..\..\client\Assets\Scripts\Net/ChessBase.cs
 DEBUG root [2018-05-21 08:48:53,860] - ClientSDK::saveFile(): ..\..\client\Assets\Scripts\Net/EntityCallChessBase.cs
 DEBUG root [2018-05-21 08:48:53,865] - ClientSDK::writeEntityModule(): ..\..\client\Assets\Scripts\Net//NormalFB
 DEBUG root [2018-05-21 08:48:53,865] - ClientSDK::saveFile(): ..\..\client\Assets\Scripts\Net/NormalFBBase.cs
 DEBUG root [2018-05-21 08:48:53,872] - ClientSDK::saveFile(): ..\..\client\Assets\Scripts\Net/EntityCallNormalFBBase.cs
 DEBUG root [2018-05-21 08:48:53,877] - Script::uninstall_py_dlls(): PyInit_pyexpat
 DEBUG root [2018-05-21 08:48:53,877] - Script::uninstall_py_dlls(): PyInit__socket
 DEBUG root [2018-05-21 08:48:53,877] - Script::uninstall_py_dlls(): PyInit__ssl
 DEBUG root [2018-05-21 08:48:53,877] - Script::uninstall_py_dlls(): PyInit__hashlib
 DEBUG root [2018-05-21 08:48:53,877] - Script::uninstall_py_dlls(): PyInit_select
 DEBUG root [2018-05-21 08:48:53,878] - Script::uninstall_py_dlls(): PyInit__ctypes
 DEBUG root [2018-05-21 08:48:53,878] - Script::uninstall_py_dlls(): PyInit__elementtree
 DEBUG root [2018-05-21 08:48:53,878] - Script::uninstall_py_dlls(): PyInit_unicodedata
  INFO root [2018-05-21 08:48:53,887] - Script::uninstall(): is successfully!
 DEBUG root [2018-05-21 08:48:53,887] - ThreadPool::destroy(): starting size 2.
  WARN root [2018-05-21 08:48:54,188] - ThreadPool::destroy(): waiting for thread(2)[0x3df10f8,0x3df1160,], try=1
 DEBUG root [2018-05-21 08:48:54,590] - TPThread::~TPThread(): 0x3df10f8
 DEBUG root [2018-05-21 08:48:54,590] - TPThread::~TPThread(): 0x3df1160
 DEBUG root [2018-05-21 08:48:54,590] - ThreadPool::destroy(): successfully!
 DEBUG root [2018-05-21 08:48:54,601] - Bundle::destroyObjPool(): size 13.
 DEBUG root [2018-05-21 08:48:54,601] - Channel::destroyObjPool(): size 0.
 DEBUG root [2018-05-21 08:48:54,601] - TCPPacket::destroyObjPool(): size 0.
 DEBUG root [2018-05-21 08:48:54,602] - UDPPacket::destroyObjPool(): size 0.
 DEBUG root [2018-05-21 08:48:54,602] - EndPoint::destroyObjPool(): size 0.
 DEBUG root [2018-05-21 08:48:54,603] - Address::destroyObjPool(): size 0.
 DEBUG root [2018-05-21 08:48:54,603] - TCPPacketReceiver::destroyObjPool(): size 0.
 DEBUG root [2018-05-21 08:48:54,603] - UDPPacketReceiver::destroyObjPool(): size 0.
  INFO root [2018-05-21 08:48:54,603] - tool(0) has shut down. ClientSDK=1
  INFO root [2018-05-21 08:48:55,606] - EventDispatcher()::~EventDispatcher: Num timers = 2
  INFO root [2018-05-21 15:30:43,539] - 
  INFO root [2018-05-21 15:30:43,539] - -----------------------------------------------------------------------------------------


  INFO root [2018-05-21 15:30:43,539] - Resmgr::initialize: KBE_ROOT=D:/noah/ChessWarrior/server/
  INFO root [2018-05-21 15:30:43,540] - Resmgr::initialize: KBE_RES_PATH=D:/noah/ChessWarrior/server/kbe/res/;D:/noah/ChessWarrior/server/chess_assets/;D:/noah/ChessWarrior/server/chess_assets/scripts/;D:/noah/ChessWarrior/server/chess_assets/res/
  INFO root [2018-05-21 15:30:43,540] - Resmgr::initialize: KBE_BIN_PATH=D:/noah/ChessWarrior/server/kbe/bin/server/
  INFO root [2018-05-21 15:30:43,543] - NetworkInterface::initialize(INTERNAL): bound to all interfaces with default route interface on 192.168.0.111 ( 192.168.0.111:54325 )
